id zone x y z chord Uref Ue delta delta_star theta tau_w cp cf beta_c Rt Rtheta PI u_tau mu rho nu dpdx
000 FPG 0.006513537424872667 0.06605349749991586 0.8791540354330709 0.3048 30.0 28.33409523774578 0.005919999999999913 -0.0005901589921365107 -0.0007166560686472342 16.240464368244584 182.97544770255575 -15.8952076659005 2.687474319032703 190.62980256040686 -1384.4497716286369 1.9084246076111908 3.658143050577349 1.78e-05 1.213604209396787 1.4667055257535205e-05 -60902.06003726335
001 FPG 0.009819209037098419 0.07207702257911801 0.8791540354330709 0.3048 30.0 33.27391969449779 0.005979999999999985 -0.0006105746980258243 -0.0007371265044737315 11.840576102561446 182.71969357706158 -12.61995240233051 2.6795933657544952 119.55012953868241 -1669.9930513548318 1.904884612435912 3.1256624771882064 1.78e-05 1.2119610846298652 1.4686940220886834e-05 -43042.719232822725
002 FPG 0.019647786456933006 0.08272021466844645 0.8791540354330709 0.3048 30.0 40.78102760167564 0.005920000000000054 -0.000547896518273263 -0.0006608985805524165 10.020380635676663 181.90047953788167 -10.341536362360262 1.49607617733559 81.71988719882329 -1827.224590777365 1.3434540614574035 2.8815929617377627 1.78e-05 1.206754562807993 1.4750306772059135e-05 -22683.136562859872
003 FPG 0.032389447677228816 0.09070231802964207 0.8791540354330709 0.3048 30.0 44.70509771296548 0.00599999999999999 -0.0004733548301546466 -0.0005737197889956012 8.961699183387598 181.51575947064802 -9.238057055829067 0.47331891443719676 67.57165585324908 -1735.2946937186118 0.783937355017835 2.7278909163637053 1.78e-05 1.2043046482492659 1.4780313291887064e-05 -7393.40320894222
004 APG 0.04673492487294314 0.0956698251840325 0.8791540354330709 0.3048 30.0 46.637525993081326 0.005719999999999994 -0.00022911330955993834 -0.00034046971186929575 2.0370882222945967 181.63797355033955 -1.8609649935970922 -2.0553295740975748 14.036226257729098 -1075.0068879349126 nan 1.30015846513806 1.78e-05 1.205083837996399 1.47707565554897e-05 12297.386587900835
005 APG 0.07720377130385864 0.09963617095653758 0.8791540354330709 0.3048 30.0 45.92748404258463 0.006 0.00017861715598047853 -0.00016563417027762602 0.8476234854484241 181.94238008740172 0.7811943107612963 -2.2694571084511135 6.221019669766985 -515.9787172944879 nan 0.8378897756827791 1.78e-05 1.2073389159443522 1.4743167610129802e-05 11613.818218286342
006 APG 0.10843246827114951 0.10050444769816587 0.8791540354330709 0.3048 30.0 43.542307850181274 0.005900000000000002 0.00020407962563725768 0.00012722886468882684 7.531103219991217 182.5915487026676 -7.278661357603335 0.004868979832430217 57.329633491995416 377.0614802367519 0.47915276946834545 2.4932266632188282 1.78e-05 1.2115325161533188 1.4692135590810192e-05 288.21124658913766
007 APG 0.1551562966337117 0.09898087221428699 0.8791540354330709 0.3048 30.0 41.738130180494565 0.005699999999999998 0.00031134629364856065 0.00014712504252775726 1.551653750228153 182.75534856538843 -1.6442681123568288 0.18647533688256893 11.90465131428481 418.26743908742077 0.6033352379695854 1.1312801666104066 1.78e-05 1.2124238445084823 1.4681334485974363e-05 1966.6614930242565
008 APG 0.20282377322783493 0.09526754992654549 0.8791540354330709 0.3048 30.0 40.21414351145105 0.005979999999999998 0.000308703133276049 0.00019261409158308397 3.362792487960926 182.92959616231195 -3.2100200190857033 0.09400858018765351 28.093278646905443 528.0328334983809 0.541295635863425 1.6647269456758762 1.78e-05 1.2134281064325436 1.4669183864820531e-05 1641.268012431741
009 APG 0.24873649449617383 0.09047952823244526 0.8791540354330709 0.3048 30.0 39.315168579031514 0.005899999999999995 0.00039298015753541773 0.0002508646522209526 2.7427667488764134 183.0126414567793 -2.5719432747008475 0.07843585285004562 23.123881913701958 672.6610445305108 0.5306172809214961 1.5030938751129912 1.78e-05 1.2139943500997754 1.4662341713976723e-05 857.5590351700425
010 APG 0.3122832917855743 0.08218530894322983 0.8791540354330709 0.3048 30.0 38.31606989836757 0.005960000000000002 0.0007480417106105283 0.00042043413044909084 1.2852089424895206 183.10036380359088 -1.5519249405002222 0.22690473102806985 11.231015827737309 1099.1611259309473 0.6297934050780724 1.028692678131614 1.78e-05 1.214513764924655 1.4656071025349195e-05 693.616355786715
011 APG 0.375675460924889 0.07238127208776085 0.8791540354330709 0.3048 30.0 37.50791135742171 0.005959999999999982 0.0005690986171899125 0.0003617952395764841 1.635039863160658 183.17772716981577 -1.6385534559987205 0.13901627384663662 14.595928320978846 926.2789646585834 0.5717733718037032 1.160048469390207 1.78e-05 1.2149994313712162 1.4650212617722289e-05 628.2480378497581
012 APG 0.43748266708818556 0.06153660847267336 0.8791540354330709 0.3048 30.0 37.1580110344127 0.005960000000000013 0.0008171374854913464 0.0005151622731040233 2.3963751987734643 183.21733507537172 -2.201939747427014 0.13024988763782805 21.59377711001659 1306.953934168071 0.5658802929449308 1.4042211883834783 1.78e-05 1.2153007684990564 1.4646580057695256e-05 605.8821009885864
013 APG 0.5007832857078712 0.049059356209372025 0.8791540354330709 0.3048 30.0 36.67971099207689 0.005779999999999978 0.0011405042142199656 0.0006572712052240288 1.1594953292233887 183.2462145826765 -1.206815744675708 0.041733915739240596 10.264810460032086 1646.1582915959193 0.5051606418294047 0.9767287232092652 1.78e-05 1.2154051846515213 1.4645321761650689e-05 73.62300369351836
014 APG 0.5642281421531378 0.0352231571298655 0.8791540354330709 0.3048 30.0 36.36091820160893 0.005939999999999995 0.0009072093667713029 0.0006212135222029048 1.4246508504192428 183.28132110836407 -1.4830600574190096 0.12811403744043967 13.074950177768406 1542.6201551938716 0.5644414014722595 1.0825615306099534 1.78e-05 1.215635184118825 1.4642550851226512e-05 293.80843440582726
015 APG 0.6260751772438962 0.01995179897160348 0.8791540354330709 0.3048 30.0 35.92194275119802 0.005980000000000003 0.0011573204791671776 0.000714718888532001 1.2080169037312005 183.2979152297102 -1.2347646115340147 0.5004666799586398 11.29781285967889 1753.6309747667817 0.8002799916440955 0.9967929063014881 1.78e-05 1.2158027855568359 1.464053233917179e-05 845.8881090802463
016 APG 0.6892855076865084 0.0017515364349309564 0.8791540354330709 0.3048 30.0 34.41547161657744 0.005999999999999984 0.0006539479771105977 0.00045442860066372486 2.632033489116369 183.4020937880955 -2.6305380957950795 0.10733782990648114 25.779170182133782 1068.707825025885 0.5503801179867805 1.4710109338060258 1.78e-05 1.2163529400879878 1.4633910449307907e-05 621.6967033991683
