strouhal PSD[dB/Hz]
0.0000000000 54.2768397337
773.9443121358 61.2072416335
1547.8886242618 58.6049652175
2321.8329363976 53.2535702603
3095.7772485236 48.8225428835
3869.7215606594 44.4674593978
4643.6658727854 40.9051618173
5417.6101849213 37.3324605348
6191.5544970472 33.9924796912
6965.4988091831 31.4057706348
7739.4431213189 28.4388745678
8513.3874334449 24.2464276767
9287.3317455807 20.0832641541
10061.2760577067 17.9193778704
10835.2203698425 17.3772201746
11609.1646819685 15.3795521054
12383.1089941043 12.7082245219
13157.0533062303 14.2523760478
13930.9976183661 12.7267859935
14704.9419305020 10.7782911864
15478.8862426280 13.8282539866
16252.8305547638 13.3126796920
17026.7748668898 10.2973313620
17800.7191790256 11.8383459308
18574.6634911516 13.2776368504
19348.6078032874 10.9653228410
20122.5521154134 11.8737663730
20896.4964275492 12.2339620641
21670.4407396752 9.1090369116
22444.3850518110 9.5197054034
23218.3293639469 11.1269988791
23992.2736760728 11.9834028117
24766.2179882087 11.4310565809
25540.1623003346 11.3427408332
26314.1066124705 11.7732724637
27088.0509245965 10.8010513042
27861.9952367323 9.8200111988
28635.9395488583 10.9999214560
29409.8838609941 12.0719002436
30183.8281731299 11.9544833171
30957.7724852559 12.1012119147
31731.7167973917 12.3829623420
32505.6611095177 12.2035322989
33279.6054216535 11.4273465675
34053.5497337795 11.8140451978
34827.4940459154 12.1588350302
35601.4383580413 11.3677843848
36375.3826701772 11.0987049101
37149.3269823130 10.9457593573
37923.2712944390 11.3857976246
38697.2156065748 11.7032521239
39471.1599187008 9.5129271322
40245.1042308366 9.5345344514
41019.0485429626 10.4689817894
41792.9928550984 11.5622187764
42566.9371672244 13.0986745123
43340.8814793602 10.4250927779
44114.8257914961 9.1884598065
44888.7701036220 9.5476003214
45662.7144157579 9.8281205150
46436.6587278838 9.9334073523
47210.6030400197 9.7702682176
47984.5473521457 10.1743608762
48758.4916642815 11.5906219872
49532.4359764075 10.2784377940
50306.3802885433 9.6078525875
51080.3246006693 10.8782222696
51854.2689128051 10.7017158661
52628.2132249409 11.0427778077
53402.1575370669 10.7319712134
54176.1018492028 9.7888297335
54950.0461613287 7.1381165299
55723.9904734646 7.2913350052
56497.9347855905 8.3202074368
57271.8790977264 7.2552986645
58045.8234098524 6.6632708448
58819.7677219882 7.8983517556
59593.7120341240 6.1265096586
60367.6563462500 6.5675745786
61141.6006583858 6.8405711412
61915.5449705118 6.0743030472
62689.4892826476 4.9313885191
63463.4335947736 5.9254117966
64237.3779069094 6.1790603119
65011.3222190354 3.7565370560
65785.2665311713 3.3405059043
66559.2108433071 2.9565202131
67333.1551554331 0.9066393221
68107.0994675689 1.7809300510
68881.0437796949 3.6830846851
69654.9880918307 3.0801513658
70428.9324039567 -0.4537672821
71202.8767160925 -2.4874071581
71976.8210282185 -1.5886612793
72750.7653403543 -0.8470124129
73524.7096524902 -1.0330331549
74298.6539646161 -2.5661466097
75072.5982767520 -4.1267979648
75846.5425888779 -5.3208413245
76620.4869010138 -5.8514671948
77394.4312131398 -5.3953311244
78168.3755252756 -6.5363747697
78942.3198374016 -9.0141857430
79716.2641495374 -9.8903895447
80490.2084616634 -10.2124005270
81264.1527737992 -10.0744308522
82038.0970859350 -10.1520754327
82812.0413980610 -12.2040970734
83585.9857101969 -12.0313907716
84359.9300223228 -13.7750251434
85133.8743344587 -15.4931653241
85907.8186465846 -13.9270852899
86681.7629587205 -17.2045480213
87455.7072708464 -16.5426720576
88229.6515829823 -17.5550162557
89003.5958951181 -17.6988666565
89777.5402072441 -19.2296642508
90551.4845193799 -21.1360376131
91325.4288315059 -19.8379174898
92099.3731436417 -20.6733947697
92873.3174557677 -18.0895432716
93647.2617679035 -19.9935164098
94421.2060800295 -19.1571467811
95195.1503921653 -19.4587636162
